Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
apartment,2025-08-13,2025-08-15,Montressa Executive Apartments- Luxury Stay Facing Centaurus Mall Islamabad,US$134,,7.5,Good,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/704315276.webp?k=60f770d5983beaf5b81e9466cbc837dfebabb1302096927aa0e7920a84ee7d3c&o=,images_apartment\Montressa_Executive_Apartments-_Luxury_Stay_Facing_Centaurus_Mall_Islamabad_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,North Palace Khaplu,US$80,,9.2,Superb,Khaplu,https://cf.bstatic.com/xdata/images/hotel/square240/581956645.webp?k=97806407593a79d9b6a3a26419ea1268fe0ed044ae4ddf080eebc0762757797e&o=,images_apartment\North_Palace_Khaplu_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,The Barcelo Hotel Apartments,US$172,,8.4,Very,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/563044169.webp?k=45825747e76206b612bf05ecc16e227f923dc81bfb07815b1c069144c9c91119&o=,images_apartment\The_Barcelo_Hotel_Apartments_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Serenity Corner,US$114,,7.6,Good,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/296399887.webp?k=9cf50ba5e4011a66a4c89881dd1096d5d564bed19ca62cff0724c0fc09b00281&o=,images_apartment\Serenity_Corner_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,One Constitution Avenue by Goldfinch,US$153,,7.2,Good,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/408183553.webp?k=bbddf5b338756723d558373601ea489ffd12976fb987125c0e3e59338dc1be04&o=,images_apartment\One_Constitution_Avenue_by_Goldfinch_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Northern Suites Bahria town,US$47,,8.3,Very,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/505723627.webp?k=49b6a16326505a0e41fa2a921cfbb1df419968bafb2137ad5a40c460578598b6&o=,images_apartment\Northern_Suites_Bahria_town_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Goldcrest Prime Serviced Apartments DHA Phase 4 Lahore,US$148,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/709254510.webp?k=9a3ec5e2bda0be30ef8c4ab9d2407cef4402ee2ee823efb40d255adffca8de36&o=,images_apartment\Goldcrest_Prime_Serviced_Apartments_DHA_Phase_4_Lahore_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Hill View Park Guest House Citihousing jhelum satellite town,US$42,,9.0,Superb,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/694837437.webp?k=c854a74e9f7c629955addc084d651ad145c5eae7d2d61b96bcd342127ce07ce8&o=,images_apartment\Hill_View_Park_Guest_House_Citihousing_jhelum_satellite_town_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Hayyat Luxury Hotel Apartments,US$73,,9.3,Superb,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/580214121.webp?k=c1974cfcbe718d506d077573772ece3c30676195c62c4a43c5175db513deb188&o=,images_apartment\Hayyat_Luxury_Hotel_Apartments_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,ALI Luxury & Executive Apartments & Cottages Near PC Bhurban - Cooling & Heating Inverter-Gas Blow Heater-Full Kitchen-Mountain View-Lawn-Play Area-55 inches LED-WIFI-Lift- Free Breakfast,US$151,,9.1,Superb,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/358982736.webp?k=fa8224f28026e0e035e33d1da070f4a3c7f2332af6768be5adf0852412200ece&o=,images_apartment\ALI_Luxury___Executive_Apartments___Cottages_Near_PC_Bhurban_-_Cooling___Heating_Inverter-Gas_Blow_Heater-Full_Kitchen-Mountain_View-Lawn-Play_Area-55_inches_LED-WIFI-Lift-_Free_Breakfast_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Palm tree suites,US$127,,7.4,Good,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/655728953.webp?k=2706fddd144efcfbaaae22cf1eefa4e4256e5202d25ad290d8aa542b212cfabe&o=,images_apartment\Palm_tree_suites_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Paradiso La Montana,US$343,,7.7,Good,Lower Topa,https://cf.bstatic.com/xdata/images/hotel/square240/636981267.webp?k=f1ff9f9211b44ac5b3b041857d4410bb9d8b8973f4b554b81ab73b3b1a4085cc&o=,images_apartment\Paradiso_La_Montana_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Ambiance Resort Hunza,US$714,,9.5,Exceptional,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/560861636.webp?k=58920138672897a0812ec443ac0eebc1213ec6076ac8e0ce2fb4ff6d577b7646&o=,images_apartment\Ambiance_Resort_Hunza_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Palm View Residences,US$34,,5.5,Review,Gujrānwāla,https://cf.bstatic.com/xdata/images/hotel/square240/545299224.webp?k=2fbd6afe49a324e24640c7bdabf613f14dada3d791d05be011d24ddbfffc2ed4&o=,images_apartment\Palm_View_Residences_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,De-Meridian Luxury Apartments,US$94,,8.1,Very,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/431037791.webp?k=2c7c19c81a8a42803277d8519c41ceb8f21b4110c1a4130545965da618ec0ce9&o=,images_apartment\De-Meridian_Luxury_Apartments_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,VELVET VIBES VILLA Near Islamabad Airport,US$83,,9.3,Superb,Dhok Sandemār,https://cf.bstatic.com/xdata/images/hotel/square240/592981313.webp?k=97e6a0a3b657aea6c5e4d731694c1e9dc68c540b6e579cf042ca3bdaee49fa77&o=,images_apartment\VELVET_VIBES_VILLA_Near_Islamabad_Airport_2025-08-13.jpg
apartment,2025-08-13,2025-08-15,Villa Vista,US$351,,9.0,Superb,"F-6 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/720321933.webp?k=e8f410238a4eb85997eecf139bc5699d59fd462f2c225b857032b71c84031e1b&o=,images_apartment\Villa_Vista_2025-08-13.jpg
