Property Type,Check-in,Check-out,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
apartment,2024-01-01,2024-01-03,One Constitution Avenue by SUPERHOST STAYS,,Scored 7.1,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/607630823.webp?k=0a1a8cf1706dd0329a311fa87edd43a9db0de73a573f6d5f2737ae916d1166e2&o=,images_apartment\One_Constitution_Avenue_by_SUPERHOST_STAYS_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Luxury Apartment Rentals,,Scored 6.3,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/536066131.webp?k=e1385940fdca25e5ae28b7d74269faf17a2b108de0d526425ffee5493638a080&o=,images_apartment\Luxury_Apartment_Rentals_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Airreside Gulberg Retreat at Zameen Aurum,,Scored 8.7,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/667473939.webp?k=2e398ca86307586bc375868d6eff4124c090658fe43089e3b49bed9c0789fca6&o=,images_apartment\Airreside_Gulberg_Retreat_at_Zameen_Aurum_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Starlit By Zameen Opal,,Scored 8.4,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/664549307.webp?k=f74b4d829136662023ffb1783fb1deee3e7cdea2fbea50f15ecdfa199909eed5&o=,images_apartment\Starlit_By_Zameen_Opal_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Defence Raya Golf & Country Club Apartments,,Scored 9.9,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/698774031.webp?k=6f9d2fea6e380d1fc2ddc92c42f349b1b800f4a2a70e40c2a0979699f706b7d4&o=,images_apartment\Defence_Raya_Golf___Country_Club_Apartments_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,"VivaPines, Murree",,Scored 7.7,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/409756670.webp?k=f7aa92f3ea4e2c991603954076e3c0187c179ada7ebd33e62489405eed9ced75&o=,images_apartment\VivaPines__Murree_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,LMY Elysium Tower - Skyviews Executive Apartments Facing Mountain & Centaurus Mall Islamabad,,Scored 7.0,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/682174020.webp?k=d7a8e3852c6d9048036fb412ec7eb6a6a56f32fd10d28e31e7fac32262c8ce34&o=,images_apartment\LMY_Elysium_Tower_-_Skyviews_Executive_Apartments_Facing_Mountain___Centaurus_Mall_Islamabad_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Serenity Corner,,Scored 7.6,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/296399887.webp?k=9cf50ba5e4011a66a4c89881dd1096d5d564bed19ca62cff0724c0fc09b00281&o=,images_apartment\Serenity_Corner_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Pavilion Suites - Premium ApartHotel in Bahria Town,,Scored 9.1,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/566581731.webp?k=c70659455b3f073ca546d7fbbf1a2bc4858a0f223f04216ea29fb9fcd6a2cdf1&o=,images_apartment\Pavilion_Suites_-_Premium_ApartHotel_in_Bahria_Town_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Elysium Tower Mountain View Luxurious Apartments Islamabad,,Scored 9.6,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/690501163.webp?k=2a7f74fcaa531f40b8be92c1b0a6bba175e9420df2b1b00beb88767549759c8c&o=,images_apartment\Elysium_Tower_Mountain_View_Luxurious_Apartments_Islamabad_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Spacious 2-BHK SkyPark One,,Scored 8.8,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/700781700.webp?k=a33637dfe7911e7e61eebd3176e6b58cdee5ea90be74fe86990dd04c5d9861d9&o=,images_apartment\Spacious_2-BHK_SkyPark_One_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,"Gali's End By Roomy, Kalabagh Nathiagali",,Scored 8.2,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/414221212.webp?k=25379ec2e30c6c04b05713a298e3ae6eb719e02bacd1933c1b09630a66c7d2f1&o=,images_apartment\Gali_s_End_By_Roomy__Kalabagh_Nathiagali_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Northern Suites Bahria town,,Scored 8.3,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/505723627.webp?k=49b6a16326505a0e41fa2a921cfbb1df419968bafb2137ad5a40c460578598b6&o=,images_apartment\Northern_Suites_Bahria_town_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,Luxury Centaurus Apartments Islamabad,,Scored 9.4,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/671780563.webp?k=5fc712b0ab4d67cfe4baf004e54726535ce46c9598b6ff803d8d0c75f3ca499b&o=,images_apartment\Luxury_Centaurus_Apartments_Islamabad_2024-01-01.jpg
apartment,2024-01-01,2024-01-03,The Barcelo Hotel Apartments,,Scored 8.4,,Nārān,https://cf.bstatic.com/xdata/images/hotel/square240/563044169.webp?k=45825747e76206b612bf05ecc16e227f923dc81bfb07815b1c069144c9c91119&o=,images_apartment\The_Barcelo_Hotel_Apartments_2024-01-01.jpg
