City,Property Type,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
Karachi,apartment,Room for rent,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/729567671.webp?k=8da2c09763f0353d6fb348765066ac7aa32724758b43c36454325485757dc854&o=,images_apartment\Room_for_rent.jpg
Karachi,apartment,Prestige comfort apartments separate lounge with newly bath with reception,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/728187165.webp?k=5a24a664fc6182776e52f488c66d1773728f7c80671448949b38be1bece19e28&o=,images_apartment\Prestige_comfort_apartments_separate_lounge_with_newly_bath_with_reception.jpg
Karachi,apartment,YS Rooms,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/725505903.webp?k=a0c76923a3297bdc1e3d3b66be7464bd70b252bc7518a74b75a31461c2b19b63&o=,images_apartment\YS_Rooms.jpg
Karachi,apartment,Prestige Comfort,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/729292317.webp?k=589be22e4c3661345cc96daa37388b81f0863058fb17c94b43770a5dc2a65e30&o=,images_apartment\Prestige_Comfort.jpg
Karachi,apartment,Prestige comforts,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/729249926.webp?k=579dacb88926154d892c88af50bc5c9569e0f8de69cdaaebe910d4f3ec01d1a8&o=,images_apartment\Prestige_comforts.jpg
Karachi,apartment,Rafi Apartment,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/729265545.webp?k=4630f4016b9c4de38a381b41232856619cbd32c5e282789ff7f82e218b0294bb&o=,images_apartment\Rafi_Apartment.jpg
Karachi,apartment,Crown prestige,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/725657048.webp?k=224cdd60af88d96a05f3a8b69d4c19678d2f5e0e4956e2382bbca67d84716733&o=,images_apartment\Crown_prestige.jpg
Karachi,apartment,Eynn Aparthotels - Service Apartments x Gulistan-e-Johar Block 16,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/724168534.webp?k=eb48ba7c080db5bca4cb54e0135d1dd1284bf076e6033e1624a64decb74e9a9b&o=,images_apartment\Eynn_Aparthotels_-_Service_Apartments_x_Gulistan-e-Johar_Block_16.jpg
Karachi,apartment,3 Bed Nency Apartment,,Scored 7.4,7,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/420375518.webp?k=4f47ef2d1acccd9137620e6d4bb1f13ebeebc3d6e1d812703541c698bb8c0910&o=,images_apartment\3_Bed_Nency_Apartment.jpg
Karachi,apartment,AC - Studio Apartment,,Scored 10,10,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/719788108.webp?k=216b35e2eddcf90e8b29be9572493dd83ca93a8a540575b2446208837d55668b&o=,images_apartment\AC_-_Studio_Apartment.jpg
Karachi,apartment,"Luxury 2BR Apartment, Sea View",,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/701083316.webp?k=a55d2fb09420acf2ad8388cfcdde4d88c857b3f05778da387a106d79101bceda&o=,images_apartment\Luxury_2BR_Apartment__Sea_View.jpg
Karachi,apartment,Cozy 2-Bed Portion at Gulshan Iqbal blk 7,,Scored 9.7,9,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/547039537.webp?k=ef3344af8b393883f2f13ef238bbe0aaa607800200d25a2ef9420b93c2724483&o=,images_apartment\Cozy_2-Bed_Portion_at_Gulshan_Iqbal_blk_7.jpg
Karachi,apartment,Diamond Apart's Dha Karachi,,Scored 6.8,6,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/419830873.webp?k=ad3c885dc1aa92607b5b40c63f916ac32d1436a3c0a86934223f13b6be4fe7cc&o=,images_apartment\Diamond_Apart_s_Dha_Karachi.jpg
Karachi,apartment,Beachfront Studios by Virani,,Scored 8.7,8,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/725032955.webp?k=1eaff499137f81df1effc7100975d80b07d7fe3d1a8dbed497d43cc2237f0fd5&o=,images_apartment\Beachfront_Studios_by_Virani.jpg
Karachi,apartment,Beach View Service Apartments Karachi,,Scored 7.1,7,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/215938662.webp?k=3648779ba76c312848da5694bccc575660475aa105860853f865a09bcd08c87f&o=,images_apartment\Beach_View_Service_Apartments_Karachi.jpg
Karachi,apartment,Studio Apartment with kitchen,,Scored 6.1,6,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/633784658.webp?k=e42267607949cfc69fd829d045dfddd9b85b2896b83909078b3d856f1a2910a7&o=,images_apartment\Studio_Apartment_with_kitchen.jpg
Karachi,apartment,SUKOON GHAR - near AGHA KHAN,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/697679527.webp?k=231d57f926ea2b6f4376fef694bcc48124bac6cbbd04763495fbfc559aae0be6&o=,images_apartment\SUKOON_GHAR_-_near_AGHA_KHAN.jpg
Karachi,apartment,Hometown Apartments & Rooms,,Scored 6.8,6,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/611092311.webp?k=11c722ec9e7d18212fefc4123563f29afe113ee9edcc201d84e94724c68ae184&o=,images_apartment\Hometown_Apartments___Rooms.jpg
Karachi,apartment,Service Apartment by World Inn,,Scored 10,10,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/673383250.webp?k=c62dd75eebf68dab568fbe34d5b1f2935bd4b8c8400cd616a1e3fa3ab2bdaff7&o=,images_apartment\Service_Apartment_by_World_Inn.jpg
Karachi,apartment,Pent house with pool in north nazmabad block M,,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/705182719.webp?k=279ef8afa4be5b2fc5be0c2b526e4b26ca2bfbef4db3b9f7330ab5077dcc27f9&o=,images_apartment\Pent_house_with_pool_in_north_nazmabad_block_M.jpg
Karachi,apartment,Independent Two Bedrooms Appartment with kitchen,,Scored 7.0,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/588337646.webp?k=9a2045b69bf5dc30b1a26eddc3ac33b3f7154632cb55bfce9c011fcc15fc2c23&o=,images_apartment\Independent_Two_Bedrooms_Appartment_with_kitchen.jpg
Karachi,apartment,Studio room at PECHS,,Scored 1.0,1,"PECHS, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/660714597.webp?k=7d42ee92229d5798e64aa4f6e1ee4e3af76d13333c7116291db6543d321652a4&o=,images_apartment\Studio_room_at_PECHS.jpg
Karachi,apartment,Staylink,,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/670170732.webp?k=515c7802738e6c064efd8277ba6e36f387cbd8692a4797f94e5d55bb281b3e8a&o=,images_apartment\Staylink.jpg
Karachi,apartment,Huge Luxury 3BR APT DHA Nishat Commercial,,Scored 8.7,8,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/659510987.webp?k=60822c78687111bdb08eff3c2503e2221e991bf69e2bbab54bd4b3b494566020&o=,images_apartment\Huge_Luxury_3BR_APT_DHA_Nishat_Commercial.jpg
Karachi,apartment,One Bedroom studio apartment with kitchen,,Scored 7.5,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/649397460.webp?k=5be5118fe5f614c7beee5eb673f0e9c5f93f2b502e437a18324f1f8d973f6dff&o=,images_apartment\One_Bedroom_studio_apartment_with_kitchen.jpg
Karachi,apartment,Lovers Heaven 3 big rooms,,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/678095238.webp?k=a66b51e4c1c458e298cd3386073933c2a71e87aca92106322b1996fe65ce7d2b&o=,images_apartment\Lovers_Heaven_3_big_rooms.jpg
Karachi,apartment,Palace near Mehfil Murtaza,,,,"PECHS, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/729507643.webp?k=c15ba6683ec033473e1757c92964cdde1142f90d4f81651694737137b5cbc070&o=,images_apartment\Palace_near_Mehfil_Murtaza.jpg
