Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
home,2025-08-13,2025-08-15,Maskan,US$567,Scored 5.5,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/565520580.webp?k=f3b7a4fb0f1eec3718adceee53a3d02ee9033f6379b4f94949b9ba6bf23aef53&o=,images_home\Maskan_2025-08-13.jpg
home,2025-08-13,2025-08-15,UNA Services - Margalla Retreat,US$357,Scored 9.8,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/621171270.webp?k=17a89602162bd5403fdb5ccb11f52591df5db835204ca0a319ae5c29556ff238&o=,images_home\UNA_Services_-_Margalla_Retreat_2025-08-13.jpg
home,2025-08-13,2025-08-15,Luxurious Landing Apartments & Suites Bahria Town,US$323,Scored 8.6,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/271573075.webp?k=874a8c7bddf078e6d73e22e58ec1c5a0392c9fcff5852cff56ae907577bd80f4&o=,images_home\Luxurious_Landing_Apartments___Suites_Bahria_Town_2025-08-13.jpg
home,2025-08-13,2025-08-15,House in Lahore,US$79,Scored 9.0,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/551565733.webp?k=d4a8ff9b0ddbff14561ac9a141c87e78a94ef5501db852437fb1cc347df210ac&o=,images_home\House_in_Lahore_2025-08-13.jpg
home,2025-08-13,2025-08-15,The Radiant Residence Phase 3 Bahria Town,US$325,Scored 8.2,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/668808475.webp?k=a6736b10a1ad2230c206888ca08419da9cbe99cba43c04fa831c821f888a9f51&o=,images_home\The_Radiant_Residence_Phase_3_Bahria_Town_2025-08-13.jpg
home,2025-08-13,2025-08-15,The Millenial Apartments & Suites Bahria Town,US$334,Scored 8.9,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/288215115.webp?k=ea999e707f349d9634aa0d23955e076090b7238368c235889e4b8cc645e20f3b&o=,images_home\The_Millenial_Apartments___Suites_Bahria_Town_2025-08-13.jpg
home,2025-08-13,2025-08-15,Mount Vista Resort,US$159,Scored 6.6,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/724829823.webp?k=25ac49ad8eedeb964328a6b48cd1857d30fc18448a35d15149f4ddf5a6d6c455&o=,images_home\Mount_Vista_Resort_2025-08-13.jpg
home,2025-08-13,2025-08-15,"Spacious 3 Bedroom Furnished Family Home near Valencia Town, Lake City & Ring Road",US$89,Scored 8.8,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/498125304.webp?k=af4f6c664e570c0d5dfc3c0ebc42e475d3d60d3be661db00f6553ec5ff26010b&o=,images_home\Spacious_3_Bedroom_Furnished_Family_Home_near_Valencia_Town__Lake_City___Ring_Road_2025-08-13.jpg
home,2025-08-13,2025-08-15,Family Guest House Islamabad,US$114,Scored 9.5,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/645881230.webp?k=613064a4f08ac3a74d360fdbe6596de42ca2d793b7841789ab6a3e5b55fc19e7&o=,images_home\Family_Guest_House_Islamabad_2025-08-13.jpg
home,2025-08-13,2025-08-15,Families Only! Eagle Nest Cottage Muzaffarabad by LMC,US$275,Scored 7.1,,,Muzaffarabad,https://cf.bstatic.com/xdata/images/hotel/square240/433882311.webp?k=1bf82cd01f27cb220352de1fb873d8699cbcddae887c1c722cb06520981a7af6&o=,images_home\Families_Only__Eagle_Nest_Cottage_Muzaffarabad_by_LMC_2025-08-13.jpg
home,2025-08-13,2025-08-15,Karakorum Family Guest House Hunza,US$96,Scored 8.5,,,Hunza,https://cf.bstatic.com/xdata/images/hotel/square240/482620731.webp?k=fbf036480e3ad3c3d271f61ed26d83e43dfd3e22e0af1462e5583dfaae6d168c&o=,images_home\Karakorum_Family_Guest_House_Hunza_2025-08-13.jpg
home,2025-08-13,2025-08-15,One bedroom Townhouse at New Metro City,US$71,,,,Kariāla Railroad Station,https://cf.bstatic.com/xdata/images/hotel/square240/728336141.webp?k=0a7255da0b1e56e9202b0718ca9b8d44b05b7b24e8dfb1ff95663a1d137be9b9&o=,images_home\One_bedroom_Townhouse_at_New_Metro_City_2025-08-13.jpg
home,2025-08-13,2025-08-15,Emaar Apartments - 1 2 3 4 Bedroom & Vacation Villa DHA at Gold Crest Mall & Residency,US$189,Scored 5.2,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/726952541.webp?k=a3e394e4a1bdb320032bf9eb76616865afbe4d24258121c7a11934988637d718&o=,images_home\Emaar_Apartments_-_1_2_3_4_Bedroom___Vacation_Villa_DHA_at_Gold_Crest_Mall___Residency_2025-08-13.jpg
home,2025-08-13,2025-08-15,Peaceful Private Cottage in Khaira Gali Galyat Murree,US$168,Scored 8.7,,,Khaira Gali,https://cf.bstatic.com/xdata/images/hotel/square240/362695824.webp?k=a62c1426442b40aaac416624bdfe982adec7c6d34e692d131fc2f895f6c0517a&o=,images_home\Peaceful_Private_Cottage_in_Khaira_Gali_Galyat_Murree_2025-08-13.jpg
home,2025-08-13,2025-08-15,Opulent 5-BHK Entire House in Bahria Town Phase 3,US$384,Scored 9.9,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/642743104.webp?k=4740323c522a6c47ecc1270e3d5bcfc8642824b102909c93b3946d93738421b2&o=,images_home\Opulent_5-BHK_Entire_House_in_Bahria_Town_Phase_3_2025-08-13.jpg
home,2025-08-13,2025-08-15,Fully Serviced Holiday Home Near Lahore Ring Road,US$57,Scored 7.5,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/423905023.webp?k=ce6141ddd63e997caf685bb5d595c8efb82a0f9687890a6cacc14b5fa3031868&o=,images_home\Fully_Serviced_Holiday_Home_Near_Lahore_Ring_Road_2025-08-13.jpg
home,2025-08-13,2025-08-15,"Haven Resort Bhurban, Murree",US$505,Scored 7.2,,,Bhurban,https://cf.bstatic.com/xdata/images/hotel/square240/492174498.webp?k=4524b6c50397f5ef9963cc2b26284a99618633e1040aefdb7312a87634c06e44&o=,images_home\Haven_Resort_Bhurban__Murree_2025-08-13.jpg
home,2025-08-13,2025-08-15,Designer Suite Centrally Located,US$105,,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/728247770.webp?k=554a9702bc63f485bed075bc5c99f6b966bc4566b403ca9552090593fa946363&o=,images_home\Designer_Suite_Centrally_Located_2025-08-13.jpg
home,2025-08-13,2025-08-15,Cozy Cottage at Afgan Lodge,US$248,Scored 7.0,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/385712062.webp?k=d1604e4b434c2501ebfe36c34db54cec935d82d21121824058043df476387e8f&o=,images_home\Cozy_Cottage_at_Afgan_Lodge_2025-08-13.jpg
home,2025-08-13,2025-08-15,Mount Heaven Hotel Murree,US$23,Scored 4.5,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/723689799.webp?k=7d3fc213921289fd04b2cce5eee52c7a0f47e6f8faf0b4b5d4083b0ba43c1103&o=,images_home\Mount_Heaven_Hotel_Murree_2025-08-13.jpg
home,2025-08-13,2025-08-15,"Mountain View Lodge, NathiaGali",US$248,,,,Nathia Gali,https://cf.bstatic.com/xdata/images/hotel/square240/702520458.webp?k=67cf019e17c5be63e9d03c577a69e5a202f4f6bc64e11e89fdfa41f851a275b6&o=,images_home\Mountain_View_Lodge__NathiaGali_2025-08-13.jpg
home,2025-08-13,2025-08-15,Lawn & Luxe 2 BR Stay with Grand Event Space,US$142,,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/726365925.webp?k=42d0e6e22c56350528fb86cf86dee45e193a3612ba101144b867b38b40845c18&o=,images_home\Lawn___Luxe_2_BR_Stay_with_Grand_Event_Space_2025-08-13.jpg
home,2025-08-13,2025-08-15,Moon Light Guest House Islamabad,US$33,,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/727997438.webp?k=0c509c9529da8fd5667ff2b05a5d4314000db25e9fc727214454f6b0754b9c9a&o=,images_home\Moon_Light_Guest_House_Islamabad_2025-08-13.jpg
home,2025-08-13,2025-08-15,Vip homes jhelum,US$106,Scored 9.4,,,Jhelum,https://cf.bstatic.com/xdata/images/hotel/square240/565400145.webp?k=6ea8e447b0ad7388e168989011875c35081882c1752a79e9d547324efb133970&o=,images_home\Vip_homes_jhelum_2025-08-13.jpg
home,2025-08-13,2025-08-15,Holiday home On The rocks,US$212,Scored 7.2,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/320334751.webp?k=c7880e6700c3301b70c5bef853548a6ae8dc27c10bdb25484a0969b924eca285&o=,images_home\Holiday_home_On_The_rocks_2025-08-13.jpg
home,2025-08-20,2025-08-22,Maskan,US$567,Scored 5.5,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/565520580.webp?k=f3b7a4fb0f1eec3718adceee53a3d02ee9033f6379b4f94949b9ba6bf23aef53&o=,images_home\Maskan_2025-08-20.jpg
home,2025-08-20,2025-08-22,Swiss Cottage Bhurban,US$229,Scored 9.0,,,Bhurban,https://cf.bstatic.com/xdata/images/hotel/square240/551983727.webp?k=33c0fb950312c8ae99561b5393006e0627c3911865f4dfd41e6854266cee8ff7&o=,images_home\Swiss_Cottage_Bhurban_2025-08-20.jpg
home,2025-08-20,2025-08-22,Luxurious Landing Apartments & Suites Bahria Town,US$274,Scored 8.6,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/271573075.webp?k=874a8c7bddf078e6d73e22e58ec1c5a0392c9fcff5852cff56ae907577bd80f4&o=,images_home\Luxurious_Landing_Apartments___Suites_Bahria_Town_2025-08-20.jpg
home,2025-08-20,2025-08-22,The Millenial Apartments & Suites Bahria Town,US$294,Scored 8.9,,,Rawalpindi,https://cf.bstatic.com/xdata/images/hotel/square240/288215115.webp?k=ea999e707f349d9634aa0d23955e076090b7238368c235889e4b8cc645e20f3b&o=,images_home\The_Millenial_Apartments___Suites_Bahria_Town_2025-08-20.jpg
home,2025-08-20,2025-08-22,UNA Services - Margalla Retreat,US$357,Scored 9.8,,,Islamabad,https://cf.bstatic.com/xdata/images/hotel/square240/621171270.webp?k=17a89602162bd5403fdb5ccb11f52591df5db835204ca0a319ae5c29556ff238&o=,images_home\UNA_Services_-_Margalla_Retreat_2025-08-20.jpg
home,2025-08-20,2025-08-22,House in Lahore,US$92,Scored 9.0,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/551565733.webp?k=d4a8ff9b0ddbff14561ac9a141c87e78a94ef5501db852437fb1cc347df210ac&o=,images_home\House_in_Lahore_2025-08-20.jpg
home,2025-08-20,2025-08-22,"Spacious 3 Bedroom Furnished Family Home near Valencia Town, Lake City & Ring Road",US$89,Scored 8.8,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/498125304.webp?k=af4f6c664e570c0d5dfc3c0ebc42e475d3d60d3be661db00f6553ec5ff26010b&o=,images_home\Spacious_3_Bedroom_Furnished_Family_Home_near_Valencia_Town__Lake_City___Ring_Road_2025-08-20.jpg
home,2025-08-20,2025-08-22,Mount Vista Resort,US$159,Scored 6.6,,,Murree,https://cf.bstatic.com/xdata/images/hotel/square240/724829823.webp?k=25ac49ad8eedeb964328a6b48cd1857d30fc18448a35d15149f4ddf5a6d6c455&o=,images_home\Mount_Vista_Resort_2025-08-20.jpg
home,2025-08-20,2025-08-22,Family Guest House Islamabad,US$114,Scored 9.5,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/645881230.webp?k=613064a4f08ac3a74d360fdbe6596de42ca2d793b7841789ab6a3e5b55fc19e7&o=,images_home\Family_Guest_House_Islamabad_2025-08-20.jpg
