City,Property Type,Name,Rating,Reviews Count,Location,Image URL,Image Path
Karachi,home,Charming Home banglow,9.4,9.0,"Clifton, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/591336982.webp?k=221124f7005daebbf5f17ff967ccd7c7b71646fe45271597ccc0b195a55d8a0e&o=,images_home\Charming_Home_banglow.jpg
Karachi,home,Charming luxury home,10.0,10.0,"Clifton, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/719971427.webp?k=11a91cae1425fece7cc30587d7d3d12eec5daefe7aff73d80dc4b2c26f606889&o=,images_home\Charming_luxury_home.jpg
Karachi,home,Luxury Living Penthouse Gulshan Iqbal Block#7,9.1,9.0,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/560356325.webp?k=1c2a42da9b1e5059f20e0839975c2c96746ce56b41ce6d8264a3a74cfdbd7c7f&o=,images_home\Luxury_Living_Penthouse_Gulshan_Iqbal_Block_7.jpg
Karachi,home,Dream home 2 & 4 bedroom Family house,8.0,8.0,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/685587462.webp?k=7f782f52678d181bd25fa580470c711cbfdef646e8bef761a696bf843c89999d&o=,images_home\Dream_home_2___4_bedroom_Family_house.jpg
Karachi,home,Home Sweet Home 3 bed Banglow,10.0,10.0,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/640072798.webp?k=315153f41e3f59081ce4faf7cbd96e9a86c64601089b9c1f263be28b0872d00e&o=,images_home\Home_Sweet_Home_3_bed_Banglow.jpg
Karachi,home,Entire 2-Bedroom House Separate Entrance No unmarried couples allowed,9.0,9.0,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/673998853.webp?k=f746eb6ba0807b699415452764edb63d9f2e2de4031b2899ea470a1f0217cecc&o=,images_home\Entire_2-Bedroom_House_Separate_Entrance_No_unmarried_couples_allowed.jpg
Karachi,home,Luxury hideaway superior,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/687559836.webp?k=07b72accd236ad827b3f76198c54dad863b4ead0400e05ae31c435f34b794b6a&o=,images_home\Luxury_hideaway_superior.jpg
Karachi,home,Aroma Palace Dha,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/725816819.webp?k=e0bfc347cafaed1daabb79ab67c99d5d189413b73d744f2ea5bfe839a711af71&o=,images_home\Aroma_Palace_Dha.jpg
Karachi,home,Entire Ground Floor Elegance 3BR Gulistan e Joher Blk 14 Near Darul Sehat Hospital,10.0,10.0,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/701206265.webp?k=29d87743faf6105fe0d21f46825a5a9c21c416f7df21f5677b488a00f87b1c32&o=,images_home\Entire_Ground_Floor_Elegance_3BR_Gulistan_e_Joher_Blk_14_Near_Darul_Sehat_Hospital.jpg
Karachi,home,The Home Away From Home,10.0,10.0,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/725661743.webp?k=cf8f3647fb7a905d2eb0acd306ab65ff245ef06b0f46f1277f3dd47030b83759&o=,images_home\The_Home_Away_From_Home.jpg
Karachi,home,Luxury Hideaway Royal,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/687915450.webp?k=d8b451cb48a79794389a56775d4e9733fa1c1be4a8edf731777d4ec9a26494d3&o=,images_home\Luxury_Hideaway_Royal.jpg
Karachi,home,Best house for living,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/650789548.webp?k=563184059265c497d1d578650e8766422866e8be75fe24944d883777ea7d554f&o=,images_home\Best_house_for_living.jpg
Karachi,home,Travellers Home 2BR PORTION Gulshan Iqbal blk#7,10.0,10.0,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/560359709.webp?k=a278bdce247ad660fda600140246f7994adc89641c869ccaab896a5670f8077e&o=,images_home\Travellers_Home_2BR_PORTION_Gulshan_Iqbal_blk_7.jpg
Karachi,home,Zen Vacation Farmhouse Memon Goth Karachi,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/682019859.webp?k=9c412391b24890726beadb57811dade9993e49f18fb26f5882fd1e7386af8e29&o=,images_home\Zen_Vacation_Farmhouse_Memon_Goth_Karachi.jpg
Karachi,home,"Brand New Luxuries and Cozy Beautiful Home in Gulshan-e-Maymar, Karachi",,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/685829476.webp?k=a0c72fe8339d0cb3aa8c17af9c084ce5e4571030326880fbd87c38d543d9e6c9&o=,images_home\Brand_New_Luxuries_and_Cozy_Beautiful_Home_in_Gulshan-e-Maymar__Karachi.jpg
Karachi,home,Cosy stay with comfort,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/653104245.webp?k=037d553662fc68c9e78973e7b73a569eac1ce79328e2e3aa3888bdfe454cbaab&o=,images_home\Cosy_stay_with_comfort.jpg
Karachi,home,White Lotus Karachi,10.0,10.0,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/509480630.webp?k=dc6530619f0d95d2faeaaaa135ff1adf522bea963ac65f5eb9a82af5b6983bab&o=,images_home\White_Lotus_Karachi.jpg
Karachi,home,Regal Palace Gulshan Nipa,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/557125855.webp?k=9964c17faa920a34830e31cb76d099429b82daf32619d0aaa519fbfcddc211d3&o=,images_home\Regal_Palace_Gulshan_Nipa.jpg
Karachi,home,Sunrise Family Stay Gulshan Nipa,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/557134526.webp?k=ef87d03418e498083068f0f63a2dabf8f6d0ea6171cc9aa312af024586831316&o=,images_home\Sunrise_Family_Stay_Gulshan_Nipa.jpg
Karachi,home,"Valley View Hotel, Sharda",,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/631845616.webp?k=04905ff7fb32fa5ddec249de53c721e7926193521734e43dbfeafdf2297afc37&o=,images_home\Valley_View_Hotel__Sharda.jpg
Karachi,home,2 Bed Independent Groundfloor,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/721623442.webp?k=4b9941d05f76e3d62853ed7d250b7a9ae7ed49481cf9f5443a6ea67678ec7130&o=,images_home\2_Bed_Independent_Groundfloor.jpg
Karachi,home,Mohalla Signature Residence,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/617452573.webp?k=cb415e52b0ee9a12b42124a94acfacdf68d91dab2d3b704e36cc43207f387d09&o=,images_home\Mohalla_Signature_Residence.jpg
Karachi,home,3 Bed Independent First Floor,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/721641791.webp?k=4977e0c7ca1665e34312d00d0974635f31df9849698160f249d50aba829eef9f&o=,images_home\3_Bed_Independent_First_Floor.jpg
Karachi,home,Entire portion,,,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/723938192.webp?k=d0eee7269f042e783f08495d89d499294ab20a1dbeb48230d470a64901fc0436&o=,images_home\Entire_portion.jpg
Lahore,home,"Spacious 3 Bedroom Furnished Family Home near Valencia Town, Lake City & Ring Road",8.8,8.0,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/498125304.webp?k=af4f6c664e570c0d5dfc3c0ebc42e475d3d60d3be661db00f6553ec5ff26010b&o=,images_home\Spacious_3_Bedroom_Furnished_Family_Home_near_Valencia_Town__Lake_City___Ring_Road.jpg
Lahore,home,Skylark Lodge Bahria Town Lahore,9.7,9.0,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/632850582.webp?k=77be4c0d9fbaa0d30dbdc452de8ff3ff70ef532fd48fe21d829141d7c979903d&o=,images_home\Skylark_Lodge_Bahria_Town_Lahore.jpg
Lahore,home,Fully Serviced Holiday Home Near Lahore Ring Road,7.5,7.0,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/423905023.webp?k=ce6141ddd63e997caf685bb5d595c8efb82a0f9687890a6cacc14b5fa3031868&o=,images_home\Fully_Serviced_Holiday_Home_Near_Lahore_Ring_Road.jpg
Lahore,home,Luxury Dream Vacation Home in DHA Near Lahore Airport,8.6,8.0,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/557377410.webp?k=c0d6db3a0453177bf3a1a7f85ac521811fa072330f8cca192c79e8647a245dfa&o=,images_home\Luxury_Dream_Vacation_Home_in_DHA_Near_Lahore_Airport.jpg
Lahore,home,Ahil house,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/669838290.webp?k=d3564f0f7d0e442e0b56697115ceb26a0d4c654561bddc56105f2616cdde3ede&o=,images_home\Ahil_house.jpg
Lahore,home,Lawn & Luxe 2 BR Stay with Grand Event Space,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/726365925.webp?k=42d0e6e22c56350528fb86cf86dee45e193a3612ba101144b867b38b40845c18&o=,images_home\Lawn___Luxe_2_BR_Stay_with_Grand_Event_Space.jpg
Lahore,home,"Luxury Cozy 3BR Home near airport, DHA Phase 9 Town Lahore",10.0,10.0,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/672553167.webp?k=29413fc8ef6c6867bb08abd22506f726786ce17e5a43c1526736666f506f1912&o=,images_home\Luxury_Cozy_3BR_Home_near_airport__DHA_Phase_9_Town_Lahore.jpg
Lahore,home,Aadam's 1',10.0,10.0,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/636174873.webp?k=ea71dd67b1619b94d738ec3e728835aa997c66900043fa500830616371fd7656&o=,images_home\Aadam_s_1_.jpg
Lahore,home,Fully Serviced Holiday Homes Near Emporium Mall & Expo Center,7.7,7.0,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/587500069.webp?k=cdf4863682f52db8a77b3f112e9656afe8b8f64936922b6e265e042a41398557&o=,images_home\Fully_Serviced_Holiday_Homes_Near_Emporium_Mall___Expo_Center.jpg
Lahore,home,Apna Farmhouse 1,,,Lahore,https://cf.bstatic.com/xdata/images/hotel/square240/695021553.webp?k=9e4940cb5cb9ad3d0eaf7e30c42a2fb907c7378f4a9a17ff6c1db5e9d803b267&o=,images_home\Apna_Farmhouse_1.jpg
