Property Type,Check-in,Check-out,Name,Price,Score,Average Review,Reviews Count,Location,Image URL,Image Path
hotel,2025-08-12,2025-08-14,Montressa Executive Apartments- Luxury Stay Facing Centaurus Mall Islamabad,US$134,Scored 7.5,,,"Blue Area, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/704315276.webp?k=60f770d5983beaf5b81e9466cbc837dfebabb1302096927aa0e7920a84ee7d3c&o=,images_hotel\Montressa_Executive_Apartments-_Luxury_Stay_Facing_Centaurus_Mall_Islamabad_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Four Squares by WI Hotel,US$67,Scored 8.7,,,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/591695576.webp?k=f836fa902ac2c9105d2b248f87e1c2550732bd1190a70d924bd5a647af3a9ea3&o=,images_hotel\Four_Squares_by_WI_Hotel_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Panoramic Hotel Lahore,US$41,Scored 8.0,,,"Mall Road, Lahore (Mall Road)",https://cf.bstatic.com/xdata/images/hotel/square240/633900980.webp?k=114983dae25f4bfac39000d5a163173e11abdf22bc692a5b52768c37522fbcc2&o=,images_hotel\Panoramic_Hotel_Lahore_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Shanze Hotel And Suites,US$25,Scored 6.1,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/682760439.webp?k=757622ae3e7ecfcb159674b295b9b07fc173dac0358d87022ecc04a26a9705b3&o=,images_hotel\Shanze_Hotel_And_Suites_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Shelton Hotel Lahore,US$43,Scored 7.7,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/524751006.webp?k=940bed3860592c3103bb0679606462e648197a226bd689c7429eab6c379e480f&o=,images_hotel\Shelton_Hotel_Lahore_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Holiday Guest House Lahore,US$29,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/659158668.webp?k=e54c5739e3beb9a09d438eb2b25280a160b8d9d1c9a50da3af8c160b4faa96cb&o=,images_hotel\Holiday_Guest_House_Lahore_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Hotel Grand Lahore,US$41,Scored 8.0,,,"Johar Town, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/410427549.webp?k=4761f746f725498f55fca27fc7965d8fd289cbc95770d700da27b2d1033a7ae6&o=,images_hotel\Hotel_Grand_Lahore_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,"Rose Palace Hotel, Gulberg",US$42,Scored 7.9,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/323415402.webp?k=18297cdd16b137d8c855bce7bf6043d728b179f50691c7cf791c128ded0d202f&o=,images_hotel\Rose_Palace_Hotel__Gulberg_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Park View Hotel Gulberg,US$30,Scored 6.5,,,"Gulberg, Lahore",https://cf.bstatic.com/xdata/images/hotel/square240/420247317.webp?k=a26e82eafe7053b029194c6d45b53035435a95e185506d02e79d4e703ed9d172&o=,images_hotel\Park_View_Hotel_Gulberg_2025-08-12.jpg
hotel,2025-08-12,2025-08-14,Travis Executive Guest House Islamabad,US$38,Scored 8.2,,,"E-11 Sector, Islamabad",https://cf.bstatic.com/xdata/images/hotel/square240/688777059.webp?k=2cabfe62564cb3f541ecb042b88fd3d01de5f254e6ca9ae6f2c0ccf7d918860c&o=,images_hotel\Travis_Executive_Guest_House_Islamabad_2025-08-12.jpg
