City,Property Type,Name,Price,Rating,Reviews Count,Location,Image URL,Image Path
Karachi,hotel,Imperial Inn Hotel,,,,"PECHS, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/727635108.webp?k=3ad68536dbb99f77ac49b9d97b11a8e6d15aa0bcf9fec38c56c55853823903fa&o=,images_hotel\Imperial_Inn_Hotel.jpg
Karachi,hotel,Karachi Marriott Hotel,,Scored 8.4,8,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/711036812.webp?k=994a38ba5cc8f0eb874d605e06d179f5743e1c31f8535095f03a87d937933720&o=,images_hotel\Karachi_Marriott_Hotel.jpg
Karachi,hotel,"Pearl Continental Hotel, Karachi",,Scored 7.2,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/280190481.webp?k=f821895efa5014645ad58959a5827d045ce508cce587d44848a4a7dd52501021&o=,images_hotel\Pearl_Continental_Hotel__Karachi.jpg
Karachi,hotel,Mövenpick Hotel Karachi,,Scored 7.3,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/376266891.webp?k=0c8a4e2f840336e7fe6f44860f38c3ece402a4a1f39916f8f8f06669ba1845b9&o=,images_hotel\M_venpick_Hotel_Karachi.jpg
Karachi,hotel,LOKAL Flagship x Karachi - DHA,,Scored 8.6,8,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/669646245.webp?k=764161a43cab8f9c6680b15bee67f9628b1253b5c8424eeae8ffdc2509c6dc48&o=,images_hotel\LOKAL_Flagship_x_Karachi_-_DHA.jpg
Karachi,hotel,The White Suites - by the Creek,,Scored 9.8,9,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/682087405.webp?k=2db326460ea6d42e8af72ab039aa5385459df04e7cd8abb9c86557f31afb0354&o=,images_hotel\The_White_Suites_-_by_the_Creek.jpg
Karachi,hotel,Ramada Plaza by Wyndham Karachi Airport Hotel,,Scored 7.0,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/241146539.webp?k=a3ea99f544f89415133a0823ee622d84a501f5a78c51a5bc5faf4c966a922b6d&o=,images_hotel\Ramada_Plaza_by_Wyndham_Karachi_Airport_Hotel.jpg
Karachi,hotel,Four Squares by WI Hotel,,Scored 8.7,8,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/591695576.webp?k=f836fa902ac2c9105d2b248f87e1c2550732bd1190a70d924bd5a647af3a9ea3&o=,images_hotel\Four_Squares_by_WI_Hotel.jpg
Karachi,hotel,Avari Towers Karachi,,Scored 7.6,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/44615615.webp?k=a6ddbef824e3a029954e4012a17b4aba024e2ce30ce7b7ee1044b1a93a801a21&o=,images_hotel\Avari_Towers_Karachi.jpg
Karachi,hotel,Beach Luxury Hotel,,Scored 7.2,7,Karachi,https://cf.bstatic.com/xdata/images/hotel/square240/145246938.webp?k=2de062b950e77d2af64d212378542c172fdedc57a37b84d94c2942de0d1c0537&o=,images_hotel\Beach_Luxury_Hotel.jpg
Karachi,hotel,Hotel Excelsior Karachi,,Scored 7.8,7,"Saddar Town, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/426108043.webp?k=206970eea19127f329887c7ed960c8601d70dbd53657af296573ac172b6a74d6&o=,images_hotel\Hotel_Excelsior_Karachi.jpg
Karachi,hotel,Royal Inn Hotel,,Scored 8.0,8,"PECHS, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/224681124.webp?k=e98480aca10a6144db54665f359a5b5f2216091f22c59761abcbb49334f31f0d&o=,images_hotel\Royal_Inn_Hotel.jpg
Karachi,hotel,Diplomat Fort Boutique Hotel,,Scored 9.3,9,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/583735582.webp?k=23b5e0b9a47bd4d07c44ff2c1ae0eb2672932a1b984bd2c11562bf1a25b81be3&o=,images_hotel\Diplomat_Fort_Boutique_Hotel.jpg
Karachi,hotel,Sunset BnB Creek,,Scored 7.7,7,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/595030367.webp?k=ea75c8b11713e53c65978226a0aee742053e30f0090f5fb0ef43bd7ef18d1f28&o=,images_hotel\Sunset_BnB_Creek.jpg
Karachi,hotel,Al Makkah Hotel,,Scored 5.7,5,"Saddar Town, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/701366334.webp?k=82a2f061a484bf8fe91d4018798607416a01a5fe5cd2cd259e60404fadb6f125&o=,images_hotel\Al_Makkah_Hotel.jpg
Karachi,hotel,Hamsun Shahrah-e-Faisal,,Scored 9.1,9,"PECHS, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/474866206.webp?k=d62afc97fdb7fea1e57fefa9e085138f5d3915e17da299ee24a905b916d61bd2&o=,images_hotel\Hamsun_Shahrah-e-Faisal.jpg
Karachi,hotel,Hotel Pearl Inn,,Scored 7.7,7,"Saddar Town, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/626825109.webp?k=2da1261ee7de95328b2852d33c0bef9ca73469cf0f38861e3a43eb702f57a5f9&o=,images_hotel\Hotel_Pearl_Inn.jpg
Karachi,hotel,Hotel Imperial DHA,,Scored 9.1,9,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/727910611.webp?k=f4a25782dcd0533d4f9780fa2bc2199f07a7f8051553941c84a47ea5bd353dc1&o=,images_hotel\Hotel_Imperial_DHA.jpg
Karachi,hotel,Ambiance Boutique Art Hotel Karachi,,Scored 9.2,9,"Clifton, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/401617579.webp?k=6f8f51e14178d9cddaaabab2deb520dbb847b46de13d03d0c2c5128d1b4697ee&o=,images_hotel\Ambiance_Boutique_Art_Hotel_Karachi.jpg
Karachi,hotel,AL-AMARAT HOTEL Saddar,,Scored 4.7,4,"Saddar Town, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/677581144.webp?k=fdf0172fcbcdef72577ec4428feb240c5ca02550046d5dc08045464216686a08&o=,images_hotel\AL-AMARAT_HOTEL_Saddar.jpg
Karachi,hotel,Hotel Seven 7,,Scored 7.9,7,"Bath Island, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/333054666.webp?k=92d67e017140dafc8c73ee238d20a612b669aac65755105d16f6fb7e090f6706&o=,images_hotel\Hotel_Seven_7.jpg
Karachi,hotel,Ramada by Wyndham Karachi Creek,,Scored 6.7,6,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/170835226.webp?k=a23ad1f7a011fd4b6fbbfe464160f3262f3a73f2da08e86f4141ca7ee6666e87&o=,images_hotel\Ramada_by_Wyndham_Karachi_Creek.jpg
Karachi,hotel,BNB Royal Inn Family-Stadium-karsaz-Airport,,Scored 8.9,8,"Gulshan-E-Jamal, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/672449697.webp?k=b6a37225fefdf53b7b7963b6f62c7c95c40387fcad7b718e1c66be01703d7225&o=,images_hotel\BNB_Royal_Inn_Family-Stadium-karsaz-Airport.jpg
Karachi,hotel,Karachi Guest House & Couple Hotel,,Scored 4.4,4,"Clifton, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/415939900.webp?k=1e9e739c3b891eb2257e1945609e12e1b3ca62295d78349906f21ef22dc11f67&o=,images_hotel\Karachi_Guest_House___Couple_Hotel.jpg
Karachi,hotel,Hotel island Clifton,,Scored 7.8,7,"Bath Island, Karachi",https://cf.bstatic.com/xdata/images/hotel/square240/377128150.webp?k=8ae2da8cb73771017d33deb8143e24bf1380d0a94df0b155f13c5741e8f74930&o=,images_hotel\Hotel_island_Clifton.jpg
Karachi,hotel,The Reserve Boutique Hotel,,Scored 7.7,7,"D.H.A., Karachi (D.H.A.)",https://cf.bstatic.com/xdata/images/hotel/square240/297449184.webp?k=9f9015a3c26ca8e0a757d5c3dcf34fcafd2236f0f1e9687f315f72e568470b84&o=,images_hotel\The_Reserve_Boutique_Hotel.jpg
Karachi,hotel,LOKAL Rooms x Shahrah-e-Faisal (Nursery),,Scored 7.9,7,"PECHS, Karachi (Shahrah-e-Faisal)",https://cf.bstatic.com/xdata/images/hotel/square240/510863802.webp?k=01eed5c604b1d40a6b0870ac9678f6d0fb1ba41d09baba6f035d3962ec5e15e1&o=,images_hotel\LOKAL_Rooms_x_Shahrah-e-Faisal__Nursery_.jpg
